MoleculeId,PredictedProbability
1,0.87
2,0.9
3,0.64
4,0.97
5,0.16
6,0.6
7,0.94
8,0.65
9,0.82
10,0.53
11,0.37
12,0.7
13,0.76
14,0.49
15,0.35
16,0.27
17,0.22
18,0.21
19,0.48
20,0.74
21,0.19
22,0.9
23,0.87
24,0.92
25,0.73
26,0.55
27,0.16
28,0.29
29,0.19
30,0.49
31,0.26
32,0.15
33,0.75
34,0.46
35,0.35
36,0.89
37,0.84
38,0.64
39,0.88
40,0.91
41,0.37
42,0.07
43,0.66
44,0.9
45,0.04
46,0.38
47,0.84
48,0.61
49,0.88
50,0.59
51,0.83
52,0.12
53,0.79
54,0.21
55,0.11
56,0.76
57,0.98
58,0.92
59,0.97
60,0.72
61,0.72
62,0.91
63,0.31
64,0.06
65,0.56
66,0.41
67,0.36
68,0.28
69,0.24
70,0.36
71,0.89
72,0.73
73,0.9
74,0.87
75,0.33
76,0.33
77,0.8
78,0.55
79,0.89
80,0.35
81,0.2
82,0.15
83,0.14
84,0.16
85,0.65
86,0.44
87,0.43
88,0.89
89,0.95
90,0.36
91,0.59
92,0.68
93,0.34
94,0.1
95,0.76
96,0.31
97,0.51
98,0.86
99,0.89
100,0.86
101,0.61
102,0.97
103,0.51
104,0.35
105,0.2
106,0.25
107,0.62
108,0.53
109,0.92
110,0.04
111,0.45
112,0.7
113,0.28
114,0.86
115,0.78
116,0.12
117,0.78
118,0.23
119,0.51
120,0.26
121,0.34
122,0.11
123,0.91
124,0.33
125,0.39
126,0.33
127,0.49
128,0.46
129,0.33
130,0.06
131,0.07
132,0.42
133,0.02
134,0.87
135,0.58
136,0.89
137,0.07
138,0.72
139,0.77
140,0.82
141,0.73
142,0.9
143,0.83
144,0.28
145,0.89
146,0.11
147,0.79
148,0.85
149,0.47
150,0.3
151,0.07
152,0.56
153,0.48
154,0.98
155,0.99
156,0.51
157,0.89
158,0.91
159,0.54
160,0.01
161,0.69
162,0.03
163,0.19
164,0.99
165,0.96
166,0.58
167,0.64
168,0.74
169,0.49
170,0.88
171,0.97
172,0.85
173,0.37
174,0.67
175,0.13
176,0.75
177,0.38
178,0.25
179,0.51
180,0.23
181,0.37
182,0.81
183,0.67
184,0.17
185,0.91
186,0.58
187,0.95
188,0.46
189,0.96
190,0.49
191,0.23
192,0.64
193,0.07
194,0.62
195,0.98
196,0.24
197,0.98
198,0.62
199,0.63
200,0.14
201,0.96
202,0.3
203,0.29
204,0.19
205,0.85
206,0.62
207,0.52
208,0.82
209,0.54
210,0.33
211,0.78
212,0.83
213,0.87
214,0.04
215,0.66
216,0.86
217,0.64
218,0.59
219,0.5
220,0.3
221,0.74
222,0.33
223,0.16
224,1.0
225,0.32
226,0.47
227,0.23
228,0.88
229,0.27
230,0.62
231,0.7
232,1.0
233,0.84
234,0.37
235,0.81
236,0.77
237,0.62
238,0.2
239,0.84
240,0.78
241,0.32
242,0.0
243,0.67
244,0.51
245,0.67
246,0.87
247,0.23
248,0.25
249,0.9
250,0.15
251,0.52
252,0.47
253,0.55
254,0.55
255,0.97
256,0.51
257,0.17
258,0.45
259,0.61
260,0.03
261,0.37
262,0.24
263,0.21
264,0.56
265,0.19
266,0.76
267,0.89
268,0.28
269,0.58
270,0.88
271,0.92
272,0.93
273,0.69
274,0.31
275,0.23
276,0.12
277,0.81
278,0.44
279,0.68
280,0.66
281,0.11
282,0.83
283,0.79
284,0.01
285,0.74
286,0.97
287,0.9
288,0.59
289,0.86
290,0.28
291,0.24
292,0.4
293,0.47
294,0.65
295,0.05
296,0.27
297,0.0
298,0.66
299,0.77
300,0.76
301,0.9
302,0.3
303,0.65
304,0.8
305,0.9
306,0.93
307,0.43
308,0.94
309,0.56
310,0.81
311,0.87
312,0.56
313,0.61
314,0.03
315,0.78
316,0.58
317,0.88
318,0.3
319,0.38
320,0.08
321,0.35
322,0.72
323,0.91
324,0.36
325,0.15
326,0.84
327,1.0
328,0.91
329,0.38
330,0.75
331,0.59
332,0.6
333,0.46
