MoleculeId,PredictedProbability
1,0.8526
2,0.8676
3,0.582
4,0.9622
5,0.1852
6,0.5855
7,0.9319
8,0.6927
9,0.8785
10,0.5
11,0.343
12,0.6771
13,0.7564
14,0.5362
15,0.3699
16,0.1842
17,0.2441
18,0.2439
19,0.4362
20,0.8014
21,0.1867
22,0.8952
23,0.8572
24,0.9206
25,0.8271
26,0.538
27,0.161
28,0.2891
29,0.2149
30,0.5542
31,0.3822
32,0.1546
33,0.6986
34,0.4356
35,0.4333
36,0.9153
37,0.7911
38,0.688
39,0.8691
40,0.9196
41,0.4259
42,0.084
43,0.658
44,0.8779
45,0.069
46,0.3641
47,0.826
48,0.5503
49,0.897
50,0.6201
51,0.8094
52,0.1141
53,0.7365
54,0.2052
55,0.152
56,0.7891
57,0.9737
58,0.9299
59,0.9516
60,0.7188
61,0.7286
62,0.8833
63,0.3241
64,0.0704
65,0.566
66,0.47
67,0.4237
68,0.2923
69,0.3169
70,0.4283
71,0.8368
72,0.7211
73,0.8879
74,0.8395
75,0.305
76,0.3404
77,0.8566
78,0.5384
79,0.8997857142857143
80,0.3482
81,0.2345
82,0.2249
83,0.1046
84,0.195
85,0.7173
86,0.4959
87,0.4246
88,0.8633
89,0.9176
90,0.3683
91,0.549
92,0.6149
93,0.3019
94,0.1433
95,0.6942
96,0.329
97,0.5989
98,0.844
99,0.8808
100,0.8685
101,0.5823
102,0.9549
103,0.5661
104,0.3597
105,0.2203
106,0.2345
107,0.5963
108,0.5132
109,0.8948
110,0.0347
111,0.4525
112,0.6318
113,0.2069
114,0.8561
115,0.7856
116,0.1319
117,0.764
118,0.2479
119,0.5322
120,0.2445
121,0.3425
122,0.1383
123,0.9286
124,0.3901
125,0.3423
126,0.3125
127,0.5402
128,0.4663
129,0.3031
130,0.118
131,0.0559
132,0.4513
133,0.0514
134,0.8828
135,0.5763
136,0.8798
137,0.1254
138,0.6788
139,0.7322
140,0.8625
141,0.6963
142,0.8779
143,0.8372
144,0.3042
145,0.856
146,0.1359
147,0.7978
148,0.8537
149,0.4953
150,0.3938
151,0.0673
152,0.5499
153,0.4646
154,0.9727
155,0.9689
156,0.5248
157,0.8167
158,0.9223
159,0.5814
160,0.0456
161,0.6006
162,0.0268
163,0.2212
164,0.984
165,0.9342
166,0.4569
167,0.5869
168,0.7534
169,0.4906
170,0.8725
171,0.9403
172,0.8198
173,0.4243
174,0.7409
175,0.1421
176,0.731
177,0.3331
178,0.2331
179,0.5579
180,0.1984
181,0.3208
182,0.7905
183,0.6264
184,0.1806
185,0.9007
186,0.5554
187,0.9379
188,0.3933
189,0.9736
190,0.5014
191,0.1847
192,0.5802
193,0.1676
194,0.5849
195,0.9626
196,0.3052
197,0.9617
198,0.6587
199,0.6721
200,0.2093
201,0.9357
202,0.2602
203,0.3389
204,0.2427
205,0.8825
206,0.7217
207,0.516
208,0.8839
209,0.5634
210,0.3276
211,0.8027
212,0.8643
213,0.8855
214,0.0341
215,0.5612
216,0.8324
217,0.6052
218,0.5509
219,0.4481
220,0.2664
221,0.7472
222,0.338
223,0.2697
224,0.9854
225,0.3962
226,0.4302
227,0.2937
228,0.8979
229,0.2197
230,0.5692
231,0.5765
232,0.9632
233,0.8065
234,0.3913
235,0.8059
236,0.7807
237,0.5538
238,0.2016
239,0.8502
240,0.7703
241,0.2793
242,0.0117
243,0.7275
244,0.54
245,0.6329
246,0.8755
247,0.2104
248,0.2623
249,0.9051
250,0.2099
251,0.4937
252,0.501
253,0.56
254,0.6244
255,0.9511
256,0.481
257,0.1977
258,0.4209
259,0.5325
260,0.0357
261,0.3892
262,0.2389
263,0.2379
264,0.5431
265,0.1825
266,0.7497
267,0.8645
268,0.2333
269,0.5104
270,0.8815
271,0.9427
272,0.8991
273,0.6469
274,0.3255
275,0.3102
276,0.1702
277,0.852
278,0.4613
279,0.7167
280,0.6077
281,0.1276
282,0.8175
283,0.7348
284,0.008
285,0.7329
286,0.9721
287,0.9212
288,0.6055
289,0.8639
290,0.2094
291,0.2766
292,0.3429
293,0.4963
294,0.7171
295,0.0397
296,0.2956
297,0.0057
298,0.6468
299,0.755
300,0.7429
301,0.8573
302,0.3036
303,0.6668
304,0.7698
305,0.9008
306,0.8964
307,0.4128
308,0.8813
309,0.5288
310,0.8706
311,0.932
312,0.595
313,0.5932
314,0.0949
315,0.8034
316,0.4697
317,0.8902
318,0.2715
319,0.3217
320,0.0932
321,0.3525
322,0.7291
323,0.9211
324,0.2996
325,0.2055
326,0.8384
327,0.9986
328,0.8901
329,0.3956
330,0.7834
331,0.625
332,0.6109
333,0.4785
334,0.4532
335,0.6706
336,0.6296
337,0.868
338,0.1044
339,0.0812
340,0.9298
341,0.932
342,0.7898
343,0.1071
344,0.301
345,0.7175
346,0.8168
347,0.2439
348,0.3867
349,0.1927
350,0.6245
351,0.398
352,0.763
353,0.783
