"","year","amount"
"1","1908",1
"2","1909",1
"3","1912",1
"4","1913",3
"5","1915",2
"6","1916",5
"7","1917",7
"8","1918",4
"9","1919",8
"10","1920",18
"11","1921",11
"12","1922",13
"13","1923",13
"14","1924",7
"15","1925",9
"16","1926",13
"17","1927",20
"18","1928",36
"19","1929",39
"20","1930",26
"21","1931",30
"22","1932",28
"23","1933",27
"24","1934",27
"25","1935",41
"26","1936",49
"27","1937",34
"28","1938",55
"29","1939",29
"30","1940",25
"31","1941",26
"32","1942",38
"33","1943",42
"34","1944",53
"35","1945",70
"36","1946",85
"37","1947",80
"38","1948",77
"39","1949",67
"40","1950",65
"41","1951",73
"42","1952",60
"43","1953",67
"44","1954",61
"45","1955",57
"46","1956",53
"47","1957",66
"48","1958",68
"49","1959",66
"50","1960",70
"51","1961",59
"52","1962",77
"53","1963",60
"54","1964",55
"55","1965",61
"56","1966",58
"57","1967",58
"58","1968",65
"59","1969",69
"60","1970",73
"61","1971",58
"62","1972",77
"63","1973",64
"64","1974",58
"65","1975",50
"66","1976",57
"67","1977",61
"68","1978",49
"69","1979",58
"70","1980",45
"71","1981",50
"72","1982",53
"73","1983",48
"74","1984",48
"75","1985",56
"76","1986",50
"77","1987",54
"78","1988",62
"79","1989",80
"80","1990",61
"81","1991",69
"82","1992",66
"83","1993",55
"84","1994",74
"85","1995",59
"86","1996",68
"87","1997",56
"88","1998",59
"89","1999",60
"90","2000",63
"91","2001",58
"92","2002",55
"93","2003",62
"94","2004",46
"95","2005",45
"96","2006",38
"97","2007",43
"98","2008",50
"99","2009",46
"100","2010",40
"101","2011",36
"102","2012",26
"103","2013",25
"104","2014",23
"105","2015",18
"106","2016",23
"107","2017",15
"108","2018",16
"109","2019",9
